time,time_raw,flux
54957.2786876,54957.2786876,75.42101889366116
54957.2991222,54957.2991222,174.46306806996233
54957.3195569,54957.3195569,98.59639240563716
54957.3399914,54957.3399914,88.5091164097683
54957.360426,54957.360426,-63.00944595111358
54957.3808606,54957.3808606,-134.86689217070384
54957.4012952,54957.4012952,97.84348590630422
54957.4217298,54957.4217298,126.15315393142421
54957.4421644,54957.4421644,204.0243343744287
54957.4625991,54957.4625991,252.15701238262494
54957.4830336,54957.4830336,342.1217254653357
54957.5034682,54957.5034682,261.87962860432884
54957.5239026,54957.5239026,321.66211718664283
54957.5443373,54957.5443373,279.1981343180904
54957.5647719,54957.5647719,153.3297330298099
54957.5852064,54957.5852064,-354.5993547946598
54957.6056411,54957.6056411,-628.4913337501757
54957.6260757,54957.6260757,-589.9019426066324
54957.6465103,54957.6465103,-273.17138960671065
54957.6669448,54957.6669448,-88.09819566493069
54957.6873795,54957.6873795,-187.80397675295583
54957.7078141,54957.7078141,46.30399365610755
54957.7282486,54957.7282486,224.6013202500705
54957.7486833,54957.7486833,209.98178926612297
54957.7691179,54957.7691179,68.66070657879452
54957.7895524,54957.7895524,-111.06927781142736
54957.809987,54957.809987,-120.5213936751238
54957.8304217,54957.8304217,136.55529198182066
54957.8508562,54957.8508562,342.02979964185266
54957.8712907,54957.8712907,466.7925770683662
54957.8917253,54957.8917253,349.7073909832797
54957.91216,54957.91216,57.376989376065026
54957.9325945,54957.9325945,-105.34583066373554
54957.9530291,54957.9530291,-159.74639214284372
54957.9734638,54957.9734638,-37.08204759342294
54957.9938983,54957.9938983,54.862242578683784
54958.0143329,54958.0143329,155.62948739771986
54958.0347674,54958.0347674,291.8618123912591
54958.0552021,54958.0552021,48.990362718757424
54958.0756367,54958.0756367,84.89433340517887
54958.0960713,54958.0960713,94.69729810505592
54958.1165059,54958.1165059,188.9799149610371
54958.1369405,54958.1369405,220.34253708380808
54958.1573751,54958.1573751,182.01327187486052
54958.1778095,54958.1778095,378.01944610817736
54958.1982442,54958.1982442,557.1226230411006
54958.2186788,54958.2186788,562.8778448915771
54958.2391133,54958.2391133,509.3624039921865
54958.259548,54958.259548,439.6672968870725
54958.2799826,54958.2799826,537.0590694199692
54958.3004171,54958.3004171,461.53747616265457
54958.3208517,54958.3208517,196.45191591761022
54958.3412864,54958.3412864,-1.3996477040582977
54958.3617209,54958.3617209,-68.04310442339327
54958.3821555,54958.3821555,-248.29717863358712
54958.4025902,54958.4025902,-317.3401378129357
54958.4230248,54958.4230248,-337.24520467245816
